,r_user_degree,r_avg_pop_choice,r_avg_aud_omni
Erligh,1.0,1517.0,27.572135201978565
SahCout,3.0,11031.0,21.538475993610824
thecarl89,21.0,4148.411764705882,25.344916615556528
ZakiOwais,6.0,2541.0,25.809736060732064
profitipopis,3.0,3105.3333333333335,25.677190822516692
Penguinpuffin,1.0,6427.0,24.134293757244578
rjordancampos,45.0,3076.529411764706,26.039043390278792
Powerzin,6.0,6486.166666666667,24.09009125217106
selkadi,17.0,3871.5384615384614,25.512298129383378
Makal_Baenre,1.0,1302.0,26.928361138370953
djd-t,28.0,3178.6666666666665,25.887392506777527
OpenCasket95,6.0,6147.75,24.22383048511613
MAspiderface,5.0,5534.8,24.502036453795377
FrAnZ-MoRaLeS,5.0,6362.4,24.244094875492284
blenits,2.0,3277.0,25.5260989010989
PresentsFromTed,2.0,2924.0,25.732622909715126
Leonelle,19.0,2610.0,26.28002944758875
kozaczek666,2.0,2945.5,26.189483879414908
vichti,2.0,5813.5,25.06022160336279
TheHellus,5.0,3751.2,25.596520714689557
Heitor-Lima,38.0,2760.5806451612902,26.279157627474337
Veressis,2.0,5075.5,24.691441599116086
napaboy,10.0,3505.6,25.77654178441228
maza2009,6.0,4436.8,25.58022291582018
BomberLT,10.0,3502.375,25.72210678414988
flowcevic,2.0,5938.0,24.41675086129941
davicon1,12.0,3929.25,25.54473454259858
dmpulp,38.0,2896.344827586207,26.111032819553117
SillyMusicLover,22.0,3235.5263157894738,25.861042987036296
girlwholived,4.0,4380.0,25.856694306730926
m0rtus2603,48.0,3192.15625,26.003425954321827
moxes89,10.0,3766.75,25.822304142072433
hot_cha_cha_cha,11.0,3941.3333333333335,25.431285842026714
cockver10,2.0,4657.0,25.130648197955892
RodAlbuquerque,4.0,2283.3333333333335,26.278808457805265
pilgr_image,40.0,3288.259259259259,25.944790876834375
bgranli,49.0,3025.0857142857144,26.224591120372427
sanchi_,19.0,3339.235294117647,26.156957650596173
spamalot314,31.0,2689.8571428571427,26.056754145232567
PT-Fox,1.0,452.0,27.68016194331984
Implement,5.0,3453.4,25.79142489099188
happyshow,2.0,549.5,28.40969037252056
carol2212,6.0,3678.6,25.568409458710853
Sytten,12.0,4024.3636363636365,25.518734114177697
ScorpioSymbol,5.0,6061.5,24.28420799569041
CrimsonG,29.0,2398.185185185185,26.42805243580955
ilaari,5.0,5003.25,24.953161475498455
tara_indooi,1.0,2240.0,26.47669491525424
beagle_elgaeb,28.0,3819.4347826086955,25.698404212858982
ratkid132,16.0,3208.3076923076924,26.01223247795879
sathyamvellal,1.0,3132.0,25.849295265630648
warszawarsaw,1.0,5784.0,24.502773668639055
BimboBoy,28.0,4466.142857142857,25.23371101976476
mellowdoubt,32.0,3288.0384615384614,25.86016594842287
afterbefore,38.0,2642.6,26.460590150716786
artruff,2.0,2270.0,26.401026154530825
NinjaKitters,2.0,1363.0,27.612933458294282
jesteba_n,2.0,9433.0,22.397634313508732
AntiKristendom,1.0,646.0,27.687344913151364
Samoosha,1.0,516.0,26.61198738170347
tomyeomans_,12.0,3881.5,25.736764130392196
lyda2,22.0,3763.3333333333335,25.5376266618276
BleedQueen,2.0,711.0,27.819197530864198
FreiesRadikales,9.0,2849.777777777778,26.43428328995528
SharonWT,14.0,4793.0,24.833058514813008
I00percentyes,15.0,5476.375,24.603154108574728
kobilastfm,5.0,4296.4,25.486445663260078
Stosha,1.0,1534.0,26.852244897959185
csbdgndt,6.0,5597.0,24.591801780436047
712,44.0,2822.3529411764707,26.26765193897504
exeter232,1.0,8440.0,22.839627329192545
cameramonkey,1.0,5616.0,24.578053435114505
BHenderson79,6.0,4729.75,25.00840147732774
AlexHamlin,22.0,2794.842105263158,26.270189747704787
Loki1zI,40.0,3823.1071428571427,25.74332830941298
rafiq666,4.0,3647.6666666666665,25.81900623099241
riingtone,1.0,8440.0,22.839627329192545
Expierce,28.0,4146.523809523809,25.408807658073513
Hpelde,1.0,3144.0,25.97879223580158
jadyak,28.0,3249.84,25.968152589624648
nplanet,6.0,2935.75,25.718174118364516
congratuIations,12.0,4592.818181818182,25.082686657410207
SublimeSuperb,4.0,5864.666666666667,24.449171199538497
F666Moretto,1.0,2238.0,26.66
shiharipanda,9.0,3483.5,25.839859431515304
chefpierre,1.0,963.0,27.96960926193922
IQ25,30.0,3437.64,25.904845464515265
musicman628,7.0,1964.5714285714287,26.56682772265311
pokemei,6.0,4856.5,24.873029383384743
myownsky,2.0,3617.5,25.86894746229107
j00zt1n,19.0,4374.571428571428,25.230483196085434
Welgon,12.0,2955.9,25.969266623846067
r_j_t,34.0,3050.25,26.047570704976145
Traubentritt,7.0,4745.833333333333,25.047919255840288
zeppelinp,4.0,3711.0,25.526949083822547
Misterrocha,12.0,3942.4444444444443,25.493292672968643
aakhyderi,16.0,2826.3333333333335,26.114728365674328
cr2k1,2.0,1732.0,26.339957416607522
veronicatoste,19.0,3672.9375,25.55413674466814
amarokender,3.0,2364.5,25.976826127742072
mondomg,6.0,1752.0,27.42595708505042
Sonictoth,8.0,4685.285714285715,25.078512574813182
KingkroolXxX,4.0,4137.25,25.169044877382095
voo2k6,2.0,8991.0,22.719120725750173
aalexwerner,9.0,3919.75,25.58590903110422
DarraghDone,6.0,4155.166666666667,25.399878763063175
Schorschi90,5.0,4888.666666666667,24.737444220916746
Beauti_decayed,2.0,2634.0,26.43100436681223
Art-Cau,17.0,3314.866666666667,25.556156733318854
Kayy006,16.0,3590.923076923077,26.151373926088525
mikaine,2.0,5034.0,25.048724223323873
jorducto,5.0,4487.5,25.25659617555047
Sneak87,41.0,3440.1470588235293,25.716886896341805
pueffu,2.0,2235.5,25.807046198680407
enlesa,3.0,4887.0,25.20234225580319
